"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"14168","PRMT3",219.875886944085,-0.220220803297893,-0.220363346955573,0.0806319172651855,-2.73118649248563,0.00631067502583468,0.778712453329768,1,0.858434043753845
"14169","GSDMC",4.23290089534991,-0.65089850649254,-0.654943560705382,0.238379225650727,-2.7305169094149,0.0063235089051772,1.59720493643307,1,0.636883540805235
"14170","MUC13",4.76596395817128,-1.18112407229268,-1.20723033977383,0.432572803810947,-2.73046308479644,0.00632454157942099,1.0984515579147,1,0.441007754142125
"14171","MTR",877.33344691839,0.2135617645972,0.213690243257226,0.0782375087021502,2.72965957300901,0.00633997573960055,0.750378670365208,0.870515065677553,1.15954737499846
"14172","OMP",0.751028663455525,1.0455122756654,1.06677027289688,0.383026359461049,2.72960920271003,0.00634094439960405,1.60568203568684,1,2.06409915384345
"14173","IRX5",86.140667501375,-0.657736422989271,-0.661657497065698,0.241200644871045,-2.72692646962416,0.0063927282974569,0.817834289788181,1,0.633872057381822
"14174","E2F1",211.021744367377,0.832584831098719,0.840411873577893,0.305321895715831,2.72690836386534,0.00639307907585596,0.837916782220422,1,1.78087323995818
"14175","HRH4",8.33260233883114,-0.473588821108879,-0.475136743483836,0.173688101806332,-2.72666242640469,0.00639784554899038,1.10025545663552,1,0.720170884106036
"14176","GSTP1",5829.90695839203,0.399155870559537,0.400012653064152,0.146429383160612,2.72592741937401,0.00641210966271804,0.750378670365042,0.735442351178422,1.31873608467624
"14177","RAB22A",660.06363178106,-0.269968284715253,-0.270235813478389,0.0990462547938958,-2.72567887879281,0.00641693950298928,0.81783428978818,1,0.829337777245134
"14178","EEA1",716.342607972612,-0.344873975897184,-0.345425177756034,0.12654276852605,-2.72535507097104,0.00642323690697282,0.77936433542838,0.957575675857389,0.787376753484827
"14179","ZNF665",66.2012796845871,-0.353750557616093,-0.354359278314299,0.129887250650058,-2.72352025195426,0.00645902554214937,1.02167933989619,1,0.782547072652235
"14180","CNIH1",1168.19785208476,0.219465157717579,0.219606493432943,0.0806006248786795,2.72287166567157,0.00647171924065053,0.778712453329768,0.873017348406706,1.16430187131366
"14181","CLYBL",142.722130991921,0.419121739133259,0.420120124933663,0.153931622347529,2.72277867758072,0.00647354097980032,0.83501561279762,1,1.33711332046128
"14182","KCTD21",214.094068542804,-0.225459757399468,-0.225615550540699,0.0828155085670603,-2.72243401387677,0.00648029734594284,1.02065792345741,1,0.855322408490025
"14183","TNFRSF21",434.395765795743,-0.475074424656789,-0.476524535455968,0.174522095362526,-2.72214485890707,0.00648597047912001,0.7793643354283,0.855448566024981,0.719429675656032
"14184","RHBDD2",2113.63749473282,-0.330627825549187,-0.331114493616355,0.121472211559513,-2.72183918695843,0.00649197252775114,0.77936433542838,0.728352004052261,0.79519036107795
"14185","RP11-1099M24.7",1.38579625369166,-1.66220623995364,-1.74078519234603,0.610723180348655,-2.72170157190481,0.00649467631094187,1.59720493643307,1,0.31595560406422
"14186","GPR4",115.847098201313,0.802755174256433,0.80981604503173,0.295025290246844,2.72097071266256,0.00650905280443457,0.817834289788181,1,1.74442935628237
"14187","U51561.1",3.73152427437592,1.3909231233153,1.43511883137976,0.511283850598746,2.72045190100654,0.00651927554423468,1.60568203568684,1,2.62246428182817
"14188","TRIM10",2.85966805674244,2.01644804476675,2.15879825022218,0.741366981873268,2.71990538298811,0.00653005983031956,1.53485998987272,1,4.04586461594424
"14189","REXO4",410.07886558489,-0.281742867532519,-0.282046069858985,0.103615968289871,-2.71910664140423,0.0065458500353216,0.778712453329768,0.931103277686281,0.822596667582397
"14190","ASB18",0.285098884210453,1.971991180723,2.13132170680423,0.725514358222176,2.71805948204145,0.00656660319307217,1.77871245332977,1,3.92309203379573
"14191","RP11-293I14.2",5.48972602907882,-1.67445853137331,-1.75218894905545,0.616119285615594,-2.71775055653432,0.00657273693502445,1.10025545663552,1,0.313283668421894
"14192","POTEJ",0.927545421928658,1.83191857228122,1.94625779373952,0.67408020479059,2.7176566813,0.00657460185617891,1.60568203568684,1,3.56010199022128
"14193","RXRB",903.266244842133,-0.239340291071151,-0.239525789278952,0.088097015249888,-2.71678093057137,0.00659202241980046,0.778712453329768,0.873252481198498,0.847132596691453
"14194","PARD6B",447.46214761879,-0.41431086310871,-0.415280002906064,0.152547209940319,-2.71595175861164,0.00660855467502936,0.750378670364962,0.9277497686496,0.750377844505158
"14195","BTBD16",0.507841583708878,1.20251396800446,1.23011536481344,0.442810664678977,2.71563912959559,0.00661479762899032,1.59511061966968,1,2.3014035282768
"14196","BNIP2",1084.09331256065,-0.183870783917955,-0.183954889419787,0.0677205283494588,-2.71514101262065,0.00662475558701521,0.778712453329768,0.8732971865782,0.880337858164132
"14197","CANX",11621.8162641298,0.191761171782168,0.191856752551603,0.0706450369521156,2.71443232328051,0.00663894637071542,0.750378670365042,0.735967581422271,1.14215715495477
"14198","ACSL4",1386.2277002186,0.451989316318145,0.453243160177754,0.166564027932958,2.71360702504187,0.006655506571185,0.750378670365125,0.806343471421613,1.36792517388121
"14199","FOPNL",464.518149319665,-0.166100651850945,-0.166164084095524,0.0612240339432575,-2.71299751344198,0.00666776069017141,0.77936433542838,0.85616339184952,0.891248314410754
"14200","CDK17",657.98195052455,0.36565832401078,0.366319549306806,0.134859975136477,2.7113924916621,0.00670012645001821,0.750378670365126,1,1.2884694438761
"14201","GOLGA6L22",13.293654556691,-0.615696395384624,-0.619067970835101,0.227145243235472,-2.71058458726497,0.00671647146767804,1.0984515579147,1,0.652614797403634
"14202","STX1A",287.422863544948,-0.654609151866409,-0.658448814603274,0.241544533376586,-2.71009715150881,0.00672635029088017,0.7793643354283,1,0.635247566232909
"14203","PRSS46",1.94030229795947,-0.965176875592419,-0.978796428029447,0.356871646084695,-2.70454906177488,0.00683971685728149,1.59720493643307,1,0.512215609613866
